id,unit,appointmentDate,appointmentTime,numberOfSlots
549,6 Crownhardt Road,9/24/2022,0:02,5
550,821 Transport Terrace,9/27/2022,1:01,54
551,63 Mendota Avenue,9/24/2022,8:58,56
552,22 Knutson Way,9/27/2022,5:53,51
553,5266 Miller Crossing,9/29/2022,19:45,47
554,21 Talisman Pass,9/21/2022,9:40,54
555,13898 Meadow Ridge Plaza,9/24/2022,11:22,23
556,6 Gina Plaza,9/25/2022,15:20,21
557,1 Old Shore Lane,9/24/2022,3:38,57
558,31422 Dottie Drive,9/21/2022,8:00,57
559,4 Summerview Lane,9/29/2022,16:46,44
560,4022 Novick Trail,9/26/2022,15:03,9
561,8 Old Gate Circle,9/29/2022,15:44,52
562,09296 Spenser Court,9/22/2022,10:35,69
563,1 Gulseth Avenue,9/26/2022,18:26,59
564,3 Rowland Parkway,9/29/2022,18:19,78
565,8840 Ridge Oak Terrace,9/23/2022,7:09,4
566,5 Carpenter Drive,9/24/2022,14:01,79
567,85 Dwight Road,9/24/2022,4:04,38
568,30 Scofield Court,9/28/2022,21:35,54
569,22 Hooker Parkway,9/24/2022,10:27,3
570,27945 Warbler Hill,9/26/2022,6:44,57
571,9059 Charing Cross Way,9/28/2022,17:45,82
572,72112 Schlimgen Trail,9/29/2022,23:15,76
573,4 Memorial Point,9/21/2022,6:48,73
574,438 Little Fleur Alley,9/24/2022,3:57,3
575,6165 Atwood Drive,9/29/2022,15:27,56
576,61 Aberg Park,9/24/2022,13:40,68
577,6 Hintze Parkway,9/23/2022,0:00,68
578,56 Heath Alley,9/24/2022,3:37,58
579,9 Lukken Hill,9/21/2022,12:42,58
580,34 Stephen Trail,9/27/2022,3:56,99
581,56 Fieldstone Circle,9/25/2022,7:05,98
582,75 Logan Way,9/28/2022,13:42,17
583,6 Walton Way,9/22/2022,1:30,97
584,53580 Tennessee Pass,9/23/2022,9:54,69
585,25 Algoma Plaza,9/27/2022,17:40,70
586,8 North Junction,9/28/2022,14:29,20
587,79 Dwight Road,9/29/2022,8:26,89
588,1558 Fairview Street,9/28/2022,8:54,62
589,1394 Upham Street,9/26/2022,7:24,61
590,7 Superior Street,9/25/2022,5:30,44
591,4 Alpine Street,9/28/2022,20:14,93
592,5861 Farragut Parkway,9/21/2022,7:56,24
593,5084 Reinke Pass,9/26/2022,0:03,89
594,2208 Division Circle,9/29/2022,17:06,51
595,529 Hollow Ridge Circle,9/28/2022,5:06,15
596,15354 Bunker Hill Alley,9/22/2022,16:04,29
597,356 International Hill,9/23/2022,9:20,81
598,4481 Brentwood Junction,9/26/2022,1:35,13
599,80 Luster Avenue,9/25/2022,14:15,89
600,8852 New Castle Road,9/28/2022,17:17,82
601,55964 Sullivan Junction,9/24/2022,14:16,13
602,894 Continental Street,9/27/2022,20:41,52
603,17265 Del Sol Terrace,9/29/2022,13:11,33
604,627 Morning Circle,9/25/2022,5:44,93
605,68113 Carioca Alley,9/26/2022,3:49,99
606,9 Del Mar Place,9/27/2022,20:59,15
607,91752 Northridge Park,9/21/2022,10:12,14
608,73904 Sherman Street,9/27/2022,7:53,30
609,137 Sachtjen Pass,9/23/2022,3:36,35
610,1234 Straubel Terrace,9/22/2022,3:51,90
611,0 Annamark Lane,9/24/2022,12:24,65
612,10 Annamark Court,9/23/2022,4:10,5
613,79 Morningstar Plaza,9/22/2022,11:13,74
614,04367 Hollow Ridge Parkway,9/26/2022,17:52,37
615,22292 Hallows Drive,9/24/2022,5:24,92
616,17 Arrowood Avenue,9/21/2022,14:51,79
617,81 Badeau Drive,9/26/2022,8:42,52
618,5 Dexter Avenue,9/26/2022,2:59,70
619,48481 Luster Place,9/27/2022,11:10,58
620,56 Mallory Avenue,9/28/2022,15:50,25
621,16611 Meadow Valley Circle,9/21/2022,19:40,49
622,14 Clemons Terrace,9/26/2022,6:11,3
623,92 Tennessee Court,9/25/2022,0:20,47
624,02 Warrior Drive,9/28/2022,4:08,74
625,40 Iowa Parkway,9/27/2022,11:10,33
626,7 Moulton Park,9/27/2022,19:39,31
627,9 Hansons Plaza,9/27/2022,12:49,77
628,4247 Graceland Avenue,9/29/2022,10:08,23
629,51 Tennessee Parkway,9/24/2022,12:39,88
630,89 Toban Way,9/25/2022,12:23,98
631,49 Twin Pines Road,9/27/2022,0:18,3
632,21 Milwaukee Alley,9/29/2022,23:58,39
633,33 Marcy Drive,9/29/2022,2:09,85
634,756 Nevada Court,9/26/2022,13:43,46
635,287 Northview Plaza,9/24/2022,2:38,11
636,8 Eggendart Court,9/23/2022,8:11,48
637,65251 Myrtle Place,9/22/2022,20:58,97
638,1414 Corscot Pass,9/29/2022,17:23,17
639,52352 Crescent Oaks Junction,9/23/2022,11:47,81
640,8912 Tennyson Junction,9/23/2022,17:22,62
641,5232 Sachtjen Hill,9/21/2022,6:12,39
642,3454 Eggendart Road,9/23/2022,2:13,94
643,1 North Junction,9/28/2022,16:14,34
644,641 Johnson Court,9/26/2022,9:29,90
645,34 Porter Circle,9/28/2022,19:01,70
646,0 Service Way,9/28/2022,22:49,44
647,683 Di Loreto Circle,9/22/2022,12:23,29
648,0 Lerdahl Way,9/25/2022,21:41,43
649,0696 Sundown Lane,9/21/2022,7:01,50
650,838 Lerdahl Point,9/21/2022,12:46,9
651,61 Springs Park,9/25/2022,4:44,17
652,4337 Hanover Court,9/24/2022,2:28,60
653,72 Barnett Drive,9/29/2022,22:59,90
654,1815 6th Center,9/27/2022,18:25,60
655,76 Heffernan Street,9/22/2022,12:44,94
656,276 Red Cloud Circle,9/29/2022,12:43,96
657,70444 Comanche Avenue,9/28/2022,21:45,40
658,87 Sugar Way,9/25/2022,17:52,34
659,19 Vidon Pass,9/28/2022,9:58,96
660,163 Goodland Avenue,9/26/2022,19:25,11
661,3993 Union Road,9/24/2022,19:04,89
662,03762 Clyde Gallagher Place,9/27/2022,5:07,27
663,421 Bunker Hill Plaza,9/28/2022,5:06,96
664,4721 Washington Street,9/21/2022,9:56,62
665,4 Ridgeview Alley,9/22/2022,23:41,85
666,0837 Havey Road,9/21/2022,2:54,96
667,7445 Northland Point,9/29/2022,9:53,13
668,7392 Continental Street,9/26/2022,18:54,37
669,3654 Park Meadow Way,9/23/2022,7:04,57
670,1 Aberg Hill,9/27/2022,22:58,42
671,8679 Sullivan Junction,9/22/2022,18:53,12
672,9 Waxwing Park,9/27/2022,1:45,49
673,26650 Mitchell Lane,9/24/2022,16:58,47
674,2 Vidon Place,9/26/2022,13:35,2
675,11 Homewood Street,9/24/2022,6:55,97
676,94 Mallard Park,9/24/2022,5:33,46
677,129 Spohn Point,9/29/2022,20:59,66
678,7 Nancy Place,9/28/2022,12:35,22
679,65 Westend Place,9/29/2022,7:11,7
680,31065 Ryan Street,9/25/2022,18:05,79
681,10798 Crest Line Drive,9/24/2022,18:26,2
682,4 Vernon Crossing,9/25/2022,21:14,4
683,729 Sullivan Avenue,9/22/2022,9:15,9
684,5456 Sachtjen Way,9/29/2022,17:04,99
685,6 Sunbrook Hill,9/23/2022,16:05,97
686,441 Moland Park,9/28/2022,0:27,51
687,17661 Forest Run Terrace,9/23/2022,3:02,76
688,905 Milwaukee Crossing,9/27/2022,7:07,51
689,350 Morrow Park,9/28/2022,13:35,43
690,167 Schiller Way,9/22/2022,15:12,69
691,76248 Hooker Drive,9/28/2022,10:35,92
692,916 Dayton Alley,9/28/2022,2:50,32
693,424 Hayes Avenue,9/23/2022,1:30,1
694,35418 Leroy Way,9/22/2022,15:38,42
695,715 Delladonna Hill,9/29/2022,23:41,42
696,89 Gale Plaza,9/27/2022,18:52,80
697,744 Erie Point,9/25/2022,15:39,26
698,57 Macpherson Avenue,9/27/2022,19:56,69
699,05 Laurel Place,9/27/2022,19:05,88
700,7 Merry Plaza,9/22/2022,12:17,52
701,39 Toban Drive,9/29/2022,17:43,44
702,7 Blackbird Point,9/28/2022,15:16,50
703,8048 Center Trail,9/29/2022,17:26,89
704,36 Claremont Alley,9/23/2022,21:59,44
705,26930 Rockefeller Place,9/22/2022,20:55,66
706,2032 Hazelcrest Crossing,9/27/2022,0:45,73
707,04 Main Center,9/27/2022,19:04,95
708,98 Ilene Plaza,9/21/2022,22:49,8
709,42066 Union Hill,9/25/2022,5:34,80
710,7403 David Hill,9/27/2022,15:58,95
711,41680 Sunfield Plaza,9/23/2022,14:50,11
712,9616 Upham Terrace,9/23/2022,20:28,91
713,2 Farmco Point,9/26/2022,2:05,40
714,065 Gina Drive,9/24/2022,2:15,58
715,6768 Sloan Park,9/27/2022,15:53,23
716,69663 Burning Wood Park,9/25/2022,18:47,53
717,996 Brickson Park Park,9/25/2022,23:23,1
718,53581 Daystar Crossing,9/27/2022,2:08,14
719,4420 Buena Vista Avenue,9/27/2022,11:49,24
720,742 Farwell Lane,9/27/2022,15:35,79
721,6 Prentice Hill,9/28/2022,16:36,97
722,5673 Elgar Road,9/23/2022,1:13,3
723,79 Browning Hill,9/27/2022,18:35,39
724,545 Tomscot Lane,9/24/2022,22:29,57
725,8357 Little Fleur Lane,9/28/2022,13:24,98
726,7 Westerfield Way,9/28/2022,20:40,66
727,9918 Pleasure Trail,9/29/2022,1:39,98
728,37260 Vidon Terrace,9/27/2022,8:44,47
729,56 Buhler Court,9/21/2022,2:50,17
730,558 Carioca Center,9/26/2022,14:39,84
731,2951 Crownhardt Point,9/21/2022,15:45,85
732,63 Bartillon Way,9/25/2022,5:42,12
733,249 Merrick Plaza,9/23/2022,9:27,71
734,14972 Gateway Pass,9/21/2022,15:04,64
735,05 Homewood Pass,9/23/2022,7:02,3
736,6 Hudson Street,9/27/2022,21:24,85
737,45 Moulton Court,9/22/2022,7:57,78
738,551 Quincy Way,9/29/2022,20:40,90
739,9 Dovetail Park,9/28/2022,10:33,25
740,6654 Hanover Lane,9/24/2022,16:04,55
741,6311 Utah Court,9/29/2022,17:08,92
742,63 Orin Plaza,9/24/2022,20:36,28
743,177 Stephen Alley,9/24/2022,12:15,76
744,46 Corben Road,9/22/2022,17:22,7
745,93526 Blue Bill Park Way,9/22/2022,12:38,95
746,560 Hanson Avenue,9/21/2022,7:56,10
747,0 Lawn Point,9/22/2022,11:51,87
748,38 Morning Way,9/29/2022,19:23,8
749,4 Ridge Oak Alley,9/22/2022,11:19,11
750,91 Sutherland Parkway,9/24/2022,21:04,60
751,8207 Rieder Park,9/27/2022,17:24,78
752,907 Burning Wood Drive,9/27/2022,7:58,3
753,3153 Arkansas Drive,9/28/2022,10:44,33
754,19 Lakewood Gardens Trail,9/26/2022,11:05,22
755,69 Elgar Terrace,9/27/2022,21:03,6
756,91 Park Meadow Drive,9/26/2022,19:19,56
757,69 Bluestem Hill,9/21/2022,16:03,73
758,3583 Dakota Avenue,9/25/2022,14:23,34
759,30 Shelley Junction,9/23/2022,22:25,18
760,1536 Bunting Court,9/21/2022,11:23,44
761,1342 Arkansas Avenue,9/23/2022,13:48,99
762,26402 Glendale Pass,9/26/2022,21:57,64
763,2232 Union Crossing,9/27/2022,15:42,9
764,41828 Pennsylvania Crossing,9/28/2022,22:40,70
765,6 Melrose Lane,9/23/2022,16:26,3
766,5 Darwin Lane,9/26/2022,19:25,33
767,2796 Cardinal Avenue,9/27/2022,21:39,20
768,83 Cottonwood Parkway,9/26/2022,15:14,73
769,81166 Donald Pass,9/24/2022,14:18,3
770,0 Sullivan Road,9/24/2022,15:09,67
771,2170 Hermina Pass,9/22/2022,19:51,58
772,3 Kingsford Parkway,9/25/2022,23:21,74
773,04904 Banding Point,9/23/2022,4:34,29
774,3024 Del Mar Pass,9/25/2022,16:56,88
775,1212 Raven Circle,9/22/2022,15:51,39
776,7884 Stone Corner Lane,9/26/2022,21:20,95
777,58 Carey Place,9/28/2022,13:44,17
778,2241 Banding Point,9/22/2022,18:55,30
779,08 Kim Court,9/21/2022,7:57,3
780,94 Coleman Crossing,9/21/2022,19:45,1
781,418 Bayside Way,9/25/2022,4:04,50
782,765 Cherokee Terrace,9/26/2022,3:33,83
783,557 Surrey Point,9/22/2022,7:11,21
784,824 Ridgeview Parkway,9/22/2022,5:45,15
785,3 Cardinal Park,9/27/2022,18:58,75
786,66 Merrick Way,9/21/2022,11:05,30
787,52553 Gerald Crossing,9/21/2022,2:30,53
788,28115 Corben Crossing,9/26/2022,21:42,92
789,10 Acker Street,9/28/2022,21:52,32
790,8687 Pepper Wood Lane,9/25/2022,8:51,97
791,008 Anhalt Street,9/28/2022,13:33,52
792,98317 Hudson Center,9/21/2022,4:23,7
793,4 Bellgrove Street,9/28/2022,16:49,26
794,31786 Grover Circle,9/24/2022,16:43,48
795,05928 Donald Parkway,9/28/2022,14:04,94
796,42147 Stone Corner Circle,9/21/2022,1:35,89
797,32 Sheridan Terrace,9/22/2022,12:34,56
798,50948 Leroy Place,9/23/2022,5:49,40
799,867 Cascade Center,9/23/2022,15:14,36
800,9087 Cody Court,9/26/2022,1:18,89
801,0 Melvin Way,9/23/2022,4:38,95
802,634 Park Meadow Center,9/23/2022,1:29,56
803,67019 Ohio Trail,9/26/2022,22:26,99
804,60041 Algoma Road,9/21/2022,17:38,77
805,791 Melvin Way,9/23/2022,21:08,13
806,08495 Towne Plaza,9/24/2022,10:59,23
807,85 Moland Avenue,9/24/2022,15:15,32
808,607 Northwestern Circle,9/22/2022,22:17,21
809,12 Crescent Oaks Way,9/29/2022,16:29,56
810,75225 Lien Point,9/28/2022,5:13,4
811,11365 Saint Paul Trail,9/22/2022,1:51,52
812,1846 Dahle Center,9/24/2022,18:32,42
813,4498 Bartillon Court,9/21/2022,15:14,23
814,236 Gulseth Circle,9/23/2022,2:46,13
815,20260 Ramsey Lane,9/23/2022,9:49,65
816,286 Hoffman Road,9/21/2022,23:11,51
817,57283 Lighthouse Bay Point,9/28/2022,2:39,74
818,1 Center Crossing,9/28/2022,17:16,39
819,82 Old Gate Pass,9/23/2022,0:59,23
820,3 Jenna Park,9/21/2022,2:11,93
821,659 Lakeland Lane,9/21/2022,21:33,11
822,39 Paget Terrace,9/24/2022,9:17,86
823,53508 Coolidge Court,9/24/2022,17:57,45
824,8 Fuller Center,9/28/2022,21:25,79
825,040 Armistice Center,9/28/2022,23:13,19
826,46 Northridge Parkway,9/23/2022,14:06,100
827,8357 Cascade Alley,9/23/2022,19:54,17
828,465 Emmet Road,9/22/2022,19:39,14
829,88116 Karstens Trail,9/29/2022,15:49,75
830,24298 Milwaukee Way,9/25/2022,21:29,26
831,3 Longview Circle,9/22/2022,3:16,26
832,22 Melrose Way,9/29/2022,14:44,11
833,009 Prairie Rose Circle,9/26/2022,2:36,89
834,8692 Rieder Court,9/22/2022,4:51,91
835,04851 Grim Pass,9/29/2022,0:55,62
836,4 Petterle Alley,9/27/2022,10:51,24
837,83214 Northview Point,9/29/2022,12:57,38
838,27 Nobel Lane,9/27/2022,12:01,59
839,71 Cody Point,9/22/2022,5:58,62
840,9914 Stang Terrace,9/22/2022,21:16,11
841,644 Village Park,9/25/2022,5:12,66
842,98 Marcy Street,9/21/2022,21:27,28
843,712 Lunder Pass,9/27/2022,13:19,43
844,33899 Dorton Drive,9/27/2022,20:36,47
845,5 Truax Crossing,9/26/2022,10:25,39
846,75785 Vera Place,9/23/2022,6:15,45
847,118 Pennsylvania Trail,9/24/2022,20:28,74
848,894 Boyd Center,9/26/2022,8:06,95
849,48835 Truax Pass,9/24/2022,21:50,82
850,5 Saint Paul Junction,9/28/2022,13:59,16
851,96267 Haas Alley,9/28/2022,2:31,14
852,87 Katie Drive,9/26/2022,4:10,42
853,91 Boyd Plaza,9/26/2022,14:08,12
854,5051 Dexter Court,9/24/2022,13:34,40
855,04 Dovetail Point,9/21/2022,8:21,87
856,5 Clove Hill,9/23/2022,20:20,1
857,7319 Kipling Point,9/23/2022,3:59,49
858,855 Golf Course Drive,9/28/2022,12:00,4
859,7589 Little Fleur Avenue,9/21/2022,15:48,93
860,44299 Green Ridge Plaza,9/21/2022,17:21,31
861,240 Caliangt Pass,9/28/2022,5:13,31
862,70518 Talmadge Terrace,9/21/2022,9:59,71
863,6 Hoard Court,9/26/2022,6:16,12
864,67 Dapin Avenue,9/23/2022,5:17,90
865,158 Del Sol Pass,9/29/2022,17:05,38
866,607 Sullivan Parkway,9/28/2022,18:20,36
867,52192 Upham Hill,9/23/2022,17:07,38
868,5 Oak Valley Place,9/25/2022,8:44,35
869,37625 Miller Terrace,9/25/2022,16:24,86
870,5695 5th Way,9/21/2022,14:43,95
871,7047 Westridge Street,9/21/2022,19:04,11
872,26494 Evergreen Street,9/21/2022,22:32,26
873,99831 Northwestern Center,9/22/2022,4:54,25
874,3 Ryan Junction,9/23/2022,21:27,14
875,37097 Anniversary Hill,9/27/2022,3:35,63
876,3 Spenser Alley,9/28/2022,15:13,96
877,89142 Luster Park,9/22/2022,7:40,61
878,450 Linden Avenue,9/22/2022,11:10,77
879,427 Arrowood Pass,9/21/2022,3:43,81
880,45820 Old Shore Center,9/21/2022,14:39,91
881,097 Homewood Lane,9/29/2022,0:25,67
882,325 Independence Place,9/26/2022,23:47,88
883,27818 Brown Road,9/21/2022,16:28,78
884,40764 Waxwing Court,9/28/2022,12:28,11
885,3 Red Cloud Park,9/23/2022,15:01,94
886,88 Browning Way,9/24/2022,2:17,11
887,677 Farwell Road,9/25/2022,23:49,38
888,3 Summer Ridge Road,9/24/2022,12:41,92
889,38 Colorado Street,9/23/2022,11:03,86
890,7 Eagle Crest Drive,9/29/2022,16:25,39
891,9834 Sutteridge Road,9/24/2022,11:46,60
892,9 Toban Avenue,9/26/2022,20:51,34
893,7 Evergreen Junction,9/23/2022,16:35,12
894,55911 Bultman Alley,9/24/2022,10:13,72
895,0 Anzinger Alley,9/28/2022,9:20,5
896,16973 Calypso Lane,9/22/2022,13:48,61
897,29706 Rigney Drive,9/21/2022,4:38,78
898,8 Ronald Regan Hill,9/28/2022,14:56,6
899,2 Village Green Road,9/21/2022,12:23,99
900,3090 Annamark Junction,9/26/2022,23:47,62
901,646 Birchwood Crossing,9/23/2022,16:49,83
902,0623 Scofield Center,9/21/2022,19:36,10
903,630 Park Meadow Parkway,9/28/2022,8:07,3
904,20775 Brentwood Way,9/25/2022,16:00,96
905,53 Sycamore Place,9/27/2022,11:19,97
906,1 Loeprich Junction,9/28/2022,23:43,67
907,185 Golf Junction,9/22/2022,2:46,32
908,0524 Lakewood Road,9/21/2022,13:17,86
909,253 Monica Way,9/25/2022,19:42,31
910,6 6th Park,9/21/2022,5:14,37
911,501 Crowley Plaza,9/26/2022,23:58,34
912,9560 Florence Street,9/27/2022,13:49,32
913,54 Kensington Way,9/21/2022,5:32,49
914,65 Fremont Street,9/25/2022,7:40,6
915,032 Katie Way,9/29/2022,5:59,64
916,91132 Mandrake Pass,9/22/2022,6:12,79
917,46 Bunker Hill Road,9/25/2022,17:37,74
918,2719 Duke Point,9/28/2022,18:48,7
919,8 Thierer Hill,9/25/2022,13:21,16
920,7606 Heffernan Plaza,9/28/2022,23:49,96
921,56602 Haas Hill,9/26/2022,22:30,52
922,9 Hallows Circle,9/27/2022,21:48,12
923,46 Muir Alley,9/23/2022,0:49,14
924,43433 Forest Run Point,9/23/2022,12:44,27
925,15979 Lighthouse Bay Plaza,9/21/2022,8:49,40
926,708 Bonner Crossing,9/22/2022,11:11,30
927,8 1st Alley,9/21/2022,9:02,2
928,1 Mandrake Trail,9/24/2022,10:17,69
929,82992 Straubel Way,9/23/2022,19:14,12
930,060 Crescent Oaks Court,9/22/2022,1:40,73
931,618 Morrow Drive,9/25/2022,5:29,24
932,47 Maple Wood Hill,9/25/2022,7:47,17
933,9215 Shoshone Center,9/22/2022,2:19,14
934,29 Little Fleur Trail,9/29/2022,9:38,57
935,5805 Mallory Alley,9/23/2022,3:53,51
936,65 Meadow Valley Hill,9/21/2022,22:00,66
937,6 Lunder Trail,9/24/2022,8:54,66
938,3 Commercial Trail,9/29/2022,22:14,43
939,4375 Prairie Rose Point,9/29/2022,4:31,72
940,73 Merrick Alley,9/22/2022,16:14,33
941,39 Vernon Terrace,9/25/2022,12:48,70
942,34248 Moland Pass,9/24/2022,11:55,83
943,3 Hermina Lane,9/25/2022,10:43,79
944,4961 Express Street,9/22/2022,7:59,64
945,2 Raven Circle,9/27/2022,10:06,25
946,4977 Grim Parkway,9/28/2022,17:19,26
947,4 Johnson Alley,9/28/2022,0:26,48
948,33165 Arizona Park,9/24/2022,21:57,8
949,1068 Arapahoe Alley,9/25/2022,5:56,30
950,87 Rusk Junction,9/26/2022,20:43,74
951,63533 Arrowood Way,9/29/2022,13:43,13
952,7 Namekagon Drive,9/29/2022,5:32,71
953,277 Pawling Terrace,9/29/2022,15:18,44
954,245 Clove Street,9/21/2022,10:10,37
955,933 Spenser Point,9/23/2022,21:18,99
956,2 Arrowood Avenue,9/21/2022,4:29,20
957,9 Canary Place,9/26/2022,3:42,32
958,357 Amoth Junction,9/22/2022,12:00,27
959,81 Erie Street,9/25/2022,21:48,14
960,731 Huxley Road,9/24/2022,16:47,69
961,5931 Northfield Alley,9/27/2022,12:40,93
962,58727 Talmadge Center,9/26/2022,23:12,5
963,821 Logan Lane,9/28/2022,17:23,2
964,393 Londonderry Avenue,9/29/2022,18:48,66
965,93 Onsgard Crossing,9/29/2022,12:37,72
966,2 Mockingbird Trail,9/23/2022,4:59,44
967,23 Starling Crossing,9/23/2022,11:48,54
968,9 Glendale Trail,9/25/2022,21:15,72
969,5430 Northwestern Pass,9/23/2022,10:19,45
970,37828 Hoard Park,9/25/2022,12:00,61
971,0 Barnett Point,9/26/2022,9:12,34
972,2 Express Alley,9/26/2022,10:14,99
973,86527 Buell Terrace,9/21/2022,12:47,6
974,73827 Memorial Alley,9/22/2022,4:31,59
975,4856 Bashford Way,9/29/2022,6:03,20
976,8150 Clyde Gallagher Circle,9/23/2022,11:08,45
977,17949 Summit Place,9/24/2022,21:17,99
978,38 John Wall Parkway,9/27/2022,0:40,3
979,361 Badeau Parkway,9/21/2022,11:58,19
980,755 Anthes Hill,9/22/2022,8:48,84
981,83809 Express Court,9/28/2022,16:33,22
982,02 Messerschmidt Alley,9/26/2022,19:05,11
983,09 Spaight Circle,9/25/2022,20:31,100
984,01 Alpine Parkway,9/22/2022,15:00,4
985,936 Susan Trail,9/29/2022,22:53,59
986,1645 Muir Parkway,9/25/2022,11:51,82
987,0 Veith Place,9/23/2022,8:54,69
988,189 Upham Avenue,9/24/2022,20:00,80
989,7878 Lien Court,9/23/2022,10:24,29
990,720 Mayer Court,9/29/2022,16:15,79
991,528 Luster Crossing,9/28/2022,21:55,75
992,717 8th Pass,9/29/2022,15:29,17
993,30127 Graceland Court,9/29/2022,19:49,27
994,9 Spenser Road,9/21/2022,14:21,90
995,0053 Scott Lane,9/22/2022,22:34,25
996,3908 Crowley Trail,9/21/2022,23:58,4
997,8 Kenwood Drive,9/24/2022,1:36,14
998,779 Pepper Wood Hill,9/25/2022,18:17,7
999,1608 Holy Cross Court,9/25/2022,8:08,65
1000,82464 Buell Drive,9/23/2022,10:26,35
